UE_ID,sat_type,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz
UE_001,LEO,817.4,12.577,9.977,-84.011,0.000136,1122.085,16.45,2.9,768.7,2.72,0.0,0.0,69.92,3.45
UE_002,LEO,844.4,10.832,7.432,-83.684,0.000126,880.208,5.63,2.9,2065.1,2.81,0.0,0.0,61.01,2.71
UE_003,LEO,1004.7,9.322,2.422,-84.739,0.0018,473.752,11.698,10.0,3722.9,3.35,0.0,0.0,43.48,1.46
UE_004,LEO,1293.4,9.021,4.321,-85.19,0.00192,613.999,11.623,7.0,4018.8,4.31,0.0,0.0,50.12,1.89
UE_005,LEO,1729.4,8.26,4.06,-85.07,0.0011,593.641,22.53,6.0,4586.2,5.76,0.0,0.0,49.21,1.83
UE_006,LEO,1754.5,-20.848,-25.948,-100.524,0.074,1.19,16.697,52.0,-492.7,5.85,28.0,27.14,0.0,0.0
UE_007,LEO,1501.3,7.643,3.543,-85.778,0.00168,554.259,19.009,6.0,-4622.9,5.0,0.0,0.0,47.4,1.71
UE_008,LEO,1083.1,8.047,2.147,-86.076,0.00129,455.08,16.221,14.0,-4088.8,3.61,0.0,0.0,42.51,1.4
UE_009,LEO,905.3,9.927,6.227,-85.236,0.00019,772.548,6.035,2.0,3210.1,3.02,0.0,0.0,56.79,2.38
UE_010,LEO,802.9,12.116,6.916,-84.042,0.000181,833.453,15.353,0.6,1125.2,2.68,0.0,0.0,59.2,2.56
UE_011,LEO,834.2,11.723,5.823,-85.038,0.000133,737.661,5.561,1.3,1705.8,2.78,0.0,0.0,55.38,2.27
UE_012,LEO,994.0,11.392,8.792,-84.204,0.000121,1007.366,7.627,2.2,-1285.2,3.31,0.0,0.0,65.77,3.1
UE_013,LEO,1347.3,7.201,2.001,-86.3,0.00196,445.35,17.982,12.0,3158.9,4.49,0.0,0.0,42.0,1.37
UE_014,LEO,1662.9,-26.373,-29.073,-102.787,0.104,0.58,12.086,37.0,408.6,5.54,40.0,34.22,0.0,0.0
UE_015,LEO,1859.0,5.527,3.027,-87.736,0.00161,516.34,18.393,9.0,-1305.4,6.2,0.0,0.0,45.6,1.59
UE_016,LEO,1437.9,7.661,2.461,-86.269,0.00164,476.455,9.586,12.0,-3136.7,4.79,0.0,0.0,43.62,1.47
UE_017,LEO,1098.4,10.261,3.261,-84.069,0.00198,533.341,7.323,8.0,-4316.8,3.66,0.0,0.0,46.41,1.64
UE_018,LEO,894.6,11.311,4.911,-85.044,0.00162,661.393,18.964,12.0,3940.1,2.98,0.0,0.0,52.19,2.04
UE_019,LEO,822.2,7.615,4.415,-86.093,0.00156,621.418,9.481,13.0,-1086.1,2.74,8.0,2.32,50.45,1.91
UE_000,LEO,889.6,4.832,-1.368,-88.184,0.086,256.93,5.931,42.0,3051.7,2.97,22.0,7.02,30.21,0.79
UE_001,LEO,802.1,10.723,7.023,-83.738,0.0001,843.155,5.347,0.8,756.4,2.67,0.0,0.0,59.58,2.59
UE_002,LEO,855.6,11.734,8.434,-83.833,0.000153,973.395,5.704,1.8,3744.1,2.85,0.0,0.0,64.52,3.0
UE_003,LEO,1039.2,9.505,3.805,-85.447,0.001,574.057,9.928,11.0,-589.5,3.46,0.0,0.0,48.32,1.77
UE_004,LEO,1384.1,8.559,3.359,-85.921,0.00149,540.541,9.227,5.0,3500.8,4.61,0.0,0.0,46.76,1.66
UE_005,LEO,1719.3,5.488,0.888,-86.356,0.00103,375.359,12.462,13.0,-4391.8,5.73,0.0,0.0,38.11,1.15
UE_006,LEO,1816.2,-23.005,-27.305,-102.403,0.025,0.871,13.108,55.0,-4566.2,6.05,28.0,29.64,0.0,0.0
UE_007,LEO,1476.3,8.628,4.528,-84.786,0.00114,630.417,9.842,9.0,4439.1,4.92,0.0,0.0,50.85,1.94
UE_008,LEO,1070.9,10.717,5.317,-85.041,0.000101,694.875,17.139,0.3,-669.9,3.57,0.0,0.0,53.61,2.14
UE_009,LEO,877.7,11.348,8.648,-85.026,0.000151,993.65,7.851,0.3,474.5,2.93,0.0,0.0,65.27,3.06
UE_010,LEO,807.3,9.974,5.374,-85.013,0.000169,699.605,5.382,2.1,-946.9,2.69,0.0,0.0,53.81,2.15
UE_011,LEO,851.5,11.97,6.67,-83.215,0.000158,811.497,7.677,2.7,1612.2,2.84,0.0,0.0,58.34,2.5
UE_012,LEO,1025.3,9.391,5.391,-85.104,0.000149,701.06,6.836,1.6,-731.6,3.42,0.0,0.0,53.87,2.16
UE_013,LEO,1338.4,8.936,5.136,-84.732,0.000157,679.877,11.923,1.0,-3375.1,4.46,0.0,0.0,52.98,2.09
UE_014,LEO,1732.4,-31.646,-35.546,-105.123,0.047,0.131,12.549,48.0,-4547.2,5.77,40.0,37.6,0.0,0.0
UE_015,LEO,1811.8,5.945,2.045,-87.928,0.00155,448.256,12.079,12.0,-1922.4,6.04,0.0,0.0,42.16,1.38
UE_016,LEO,1466.2,7.562,0.762,-85.519,0.00117,367.959,11.775,11.0,-3778.9,4.89,0.0,0.0,37.67,1.13
UE_017,LEO,1097.1,10.469,3.769,-85.366,0.00173,571.253,7.314,7.0,-2158.9,3.66,0.0,0.0,48.19,1.76
UE_018,LEO,883.3,12.202,6.702,-83.199,0.00013,814.378,10.889,1.3,-3451.8,2.94,0.0,0.0,58.46,2.51
UE_019,LEO,814.0,8.119,5.819,-85.84,0.000181,737.312,6.427,3.0,128.6,2.71,8.0,2.29,55.37,2.27
UE_000,LEO,878.6,4.028,-2.572,-88.686,0.055,206.422,10.858,40.0,-1584.8,2.93,22.0,6.91,26.0,0.64
UE_001,LEO,805.4,11.992,9.692,-84.604,0.000142,1094.144,5.369,0.3,-3595.7,2.68,0.0,0.0,68.92,3.37
UE_002,LEO,856.2,10.029,7.029,-84.686,0.000108,843.644,10.708,0.2,3771.4,2.85,0.0,0.0,59.6,2.6
UE_003,LEO,1037.3,9.917,3.017,-84.742,0.0016,515.58,18.916,8.0,-807.6,3.46,0.0,0.0,45.56,1.59
UE_004,LEO,1352.9,8.179,4.379,-86.01,0.00199,618.619,22.019,9.0,1023.7,4.51,0.0,0.0,50.33,1.9
UE_005,LEO,1797.6,7.981,3.881,-86.01,0.001,579.817,18.984,8.0,2432.7,5.99,0.0,0.0,48.58,1.78
UE_006,LEO,1836.4,-24.043,-28.243,-101.722,0.058,0.702,21.242,53.0,2365.8,6.12,28.0,30.53,0.0,0.0
UE_007,LEO,1460.6,8.582,3.582,-85.709,0.00197,557.133,23.737,13.0,4070.9,4.87,0.0,0.0,47.54,1.71
UE_008,LEO,1088.8,9.515,3.115,-85.443,0.00194,522.666,16.259,11.0,2592.0,3.63,0.0,0.0,45.9,1.61
UE_009,LEO,884.4,11.294,8.194,-83.653,0.000165,950.779,5.896,2.9,3910.0,2.95,0.0,0.0,63.68,2.93
UE_010,LEO,808.0,11.167,6.267,-84.717,0.000188,775.986,13.387,3.0,2845.4,2.69,0.0,0.0,56.93,2.39
UE_011,LEO,847.5,10.405,5.005,-84.898,0.000197,669.035,15.65,1.8,-2640.9,2.82,0.0,0.0,52.52,2.06
UE_012,LEO,1016.3,8.648,5.348,-85.276,0.000148,697.432,16.775,2.9,-3119.9,3.39,0.0,0.0,53.72,2.15
UE_013,LEO,1401.8,7.493,2.293,-85.954,0.00105,464.91,15.345,8.0,4215.9,4.67,0.0,0.0,43.02,1.43
UE_014,LEO,1757.7,7.185,2.385,-86.308,0.00145,471.179,14.718,10.0,-1841.9,5.86,0.0,0.0,43.35,1.45
UE_015,LEO,1790.3,7.3,3.6,-87.05,0.00121,558.471,11.936,13.0,1142.3,5.97,0.0,0.0,47.6,1.72
UE_016,LEO,1426.8,6.701,0.201,-86.849,0.00143,335.989,9.512,13.0,1188.9,4.76,0.0,0.0,35.7,1.03
UE_017,LEO,1057.8,10.094,4.694,-84.953,0.00133,643.759,11.052,11.0,2384.1,3.53,0.0,0.0,51.43,1.98
UE_018,LEO,854.7,9.942,4.342,-85.529,0.00149,615.707,5.698,9.0,-3796.2,2.85,0.0,0.0,50.2,1.89
UE_019,LEO,801.0,8.687,6.487,-86.056,0.000162,795.334,5.34,2.3,2032.0,2.67,8.0,2.25,57.7,2.45
UE_000,LEO,855.3,3.45,-2.95,-87.675,0.092,192.276,14.702,52.0,-3439.4,2.85,22.0,6.69,24.67,0.59
UE_001,LEO,801.0,10.034,6.234,-85.483,0.000101,773.164,5.34,2.2,-2237.1,2.67,0.0,0.0,56.82,2.38
UE_002,LEO,867.2,11.736,7.836,-84.832,0.000112,917.413,9.781,0.4,-3555.9,2.89,0.0,0.0,62.43,2.82
UE_003,LEO,1038.2,9.911,3.211,-85.344,0.00184,529.698,7.921,7.0,2721.5,3.46,0.0,0.0,46.24,1.63
UE_004,LEO,1381.2,8.17,3.37,-85.715,0.00193,541.361,18.208,5.0,4567.5,4.6,0.0,0.0,46.8,1.67
UE_005,LEO,1749.7,6.506,2.406,-86.447,0.00117,472.63,20.665,8.0,1060.0,5.83,0.0,0.0,43.42,1.45
UE_006,LEO,1696.5,-17.107,-22.407,-99.254,0.106,2.686,25.31,35.0,-1683.6,5.66,28.0,25.06,0.0,0.01
UE_007,LEO,1416.3,7.539,3.039,-86.73,0.00115,517.211,16.442,12.0,3803.6,4.72,0.0,0.0,45.64,1.59
UE_008,LEO,1071.3,9.315,3.415,-85.843,0.00157,544.677,21.142,6.0,4117.0,3.57,0.0,0.0,46.95,1.68
UE_009,LEO,874.2,9.877,7.577,-84.361,0.000145,893.552,11.828,1.0,203.2,2.91,0.0,0.0,61.52,2.75
UE_010,LEO,799.7,12.047,7.947,-83.976,0.000119,927.769,12.331,0.7,-3626.0,2.67,0.0,0.0,62.82,2.85
UE_011,LEO,880.1,12.228,5.528,-84.686,0.000103,712.574,6.868,0.1,3505.8,2.93,0.0,0.0,54.35,2.19
UE_012,LEO,1047.1,10.058,7.758,-85.571,0.000197,910.181,14.981,1.7,2375.2,3.49,0.0,0.0,62.15,2.8
UE_013,LEO,1455.3,8.2,2.8,-86.2,0.00114,500.118,9.702,12.0,-1651.3,4.85,0.0,0.0,44.8,1.54
UE_014,LEO,1748.7,7.309,1.109,-85.646,0.0011,388.656,11.658,8.0,4398.8,5.83,0.0,0.0,38.88,1.2
UE_015,LEO,1786.7,6.209,2.609,-86.396,0.00171,486.674,18.911,13.0,411.4,5.96,0.0,0.0,44.13,1.5
UE_016,LEO,1410.8,6.559,0.559,-87.12,0.00182,356.174,11.405,14.0,2429.7,4.7,0.0,0.0,36.96,1.1
UE_017,LEO,1051.5,9.431,3.931,-85.085,0.00145,583.655,7.01,8.0,4145.3,3.51,0.0,0.0,48.76,1.8
UE_018,LEO,866.4,10.942,3.942,-84.029,0.00184,584.493,11.776,14.0,3604.4,2.89,0.0,0.0,48.8,1.8
UE_019,LEO,822.2,9.815,6.915,-84.993,0.000182,833.39,14.481,0.9,-2183.5,2.74,8.0,2.32,59.2,2.56
UE_000,LEO,846.2,4.515,-0.785,-87.642,0.013,284.547,9.641,41.0,3684.8,2.82,22.0,6.6,32.25,0.88
UE_001,LEO,805.3,10.692,7.392,-84.454,0.000113,876.615,5.369,2.8,-3252.9,2.68,0.0,0.0,60.87,2.7
UE_002,LEO,877.2,10.652,7.752,-83.974,0.00015,909.645,17.848,3.0,-1138.0,2.92,0.0,0.0,62.13,2.8
UE_003,LEO,1095.3,8.879,3.279,-85.161,0.00148,534.614,13.302,5.0,-2092.2,3.65,0.0,0.0,46.47,1.64
UE_004,LEO,1418.8,8.53,4.53,-86.535,0.0018,630.633,9.459,8.0,-4583.0,4.73,0.0,0.0,50.86,1.94
UE_005,LEO,1798.2,6.08,2.08,-86.06,0.0014,450.566,11.988,12.0,-3510.2,5.99,0.0,0.0,42.28,1.39
UE_006,LEO,1735.4,-19.485,-25.485,-98.943,0.048,1.324,18.57,32.0,655.3,5.78,28.0,26.43,0.0,0.0
UE_007,LEO,1409.0,7.966,3.666,-86.417,0.00155,563.496,9.393,14.0,2009.5,4.7,0.0,0.0,47.83,1.73
UE_008,LEO,1009.7,8.69,2.79,-86.255,0.00121,499.367,20.732,7.0,-3160.0,3.37,0.0,0.0,44.76,1.54
UE_009,LEO,853.3,12.054,8.154,-83.973,0.000172,947.056,12.689,2.4,-266.5,2.84,0.0,0.0,63.54,2.91
UE_010,LEO,816.7,10.384,5.984,-84.108,0.000121,751.443,5.445,2.8,-831.1,2.72,0.0,0.0,55.94,2.31
UE_011,LEO,870.0,10.412,3.712,-83.994,0.00159,566.963,5.8,8.0,3131.9,2.9,0.0,0.0,47.99,1.74
UE_012,LEO,1105.3,8.323,5.523,-85.138,0.000155,712.188,20.369,1.6,3710.0,3.68,0.0,0.0,54.33,2.19
UE_013,LEO,1466.5,8.261,3.461,-85.469,0.00154,548.127,9.777,8.0,-4434.7,4.89,0.0,0.0,47.11,1.69
UE_014,LEO,1743.8,6.122,0.522,-87.339,0.00116,354.003,11.625,9.0,-4336.1,5.81,0.0,0.0,36.83,1.09
UE_015,LEO,1754.6,5.993,2.093,-87.204,0.00121,451.458,19.697,13.0,-4687.4,5.85,0.0,0.0,42.33,1.39
UE_016,LEO,1351.0,9.287,3.187,-86.357,0.00143,527.883,11.007,12.0,-2984.9,4.5,0.0,0.0,46.15,1.62
UE_017,LEO,1035.5,8.528,1.628,-86.636,0.00167,421.083,9.903,11.0,-2830.1,3.45,0.0,0.0,40.7,1.3
UE_018,LEO,847.8,11.402,4.502,-83.999,0.00156,628.385,14.652,12.0,3595.6,2.83,0.0,0.0,50.76,1.93
UE_019,LEO,812.7,8.835,5.635,-85.182,0.000126,721.662,5.418,0.8,3570.3,2.71,8.0,2.29,54.72,2.22
UE_000,LEO,861.6,3.035,-2.665,-89.183,0.068,202.869,8.744,53.0,-1315.5,2.87,22.0,6.75,25.67,0.62
UE_001,LEO,823.1,11.924,8.624,-83.438,0.000165,991.43,17.487,0.8,-3312.8,2.74,0.0,0.0,65.19,3.05
UE_002,LEO,893.4,11.721,8.421,-84.44,0.000142,972.123,5.956,0.4,-2832.1,2.98,0.0,0.0,64.47,2.99
UE_003,LEO,1119.7,8.045,1.145,-85.877,0.00119,390.886,7.465,9.0,3906.2,3.73,0.0,0.0,39.01,1.2
UE_004,LEO,1438.3,6.86,1.36,-87.57,0.00118,404.162,23.588,9.0,3942.5,4.79,0.0,0.0,39.76,1.24
UE_005,LEO,1726.6,5.568,1.868,-86.916,0.00114,436.599,18.51,7.0,-1914.2,5.76,0.0,0.0,41.54,1.34
UE_006,LEO,1666.8,-15.942,-21.842,-97.871,0.082,3.058,11.112,36.0,-1907.4,5.56,28.0,24.08,0.0,0.01
UE_007,LEO,1348.8,-17.449,-21.249,-98.825,0.049,3.504,10.992,51.0,3432.7,4.5,45.0,25.84,0.0,0.01
UE_008,LEO,1036.0,9.425,3.225,-84.587,0.0013,530.703,6.906,11.0,-3699.9,3.45,0.0,0.0,46.29,1.63
UE_009,LEO,857.7,9.916,7.516,-85.842,0.000168,887.969,7.718,1.5,3828.8,2.86,0.0,0.0,61.31,2.73
UE_010,LEO,812.0,12.128,7.028,-84.636,0.000166,843.606,12.413,2.8,-3304.7,2.71,0.0,0.0,59.6,2.6
UE_011,LEO,898.5,9.78,4.38,-86.01,0.00199,618.694,5.99,13.0,-3757.1,3.0,0.0,0.0,50.33,1.9
UE_012,LEO,1095.3,1.855,-1.245,-88.673,0.107,262.585,7.302,46.0,-2536.5,3.65,17.0,7.12,30.64,0.81
UE_013,LEO,1462.3,7.176,2.276,-87.212,0.00164,463.784,9.748,13.0,1652.6,4.87,0.0,0.0,42.97,1.43
UE_014,LEO,1762.4,7.672,1.372,-85.864,0.0018,404.902,11.75,13.0,-2285.9,5.87,0.0,0.0,39.8,1.25
UE_015,LEO,1702.5,6.434,3.034,-86.083,0.00189,516.809,25.35,8.0,4110.4,5.68,0.0,0.0,45.62,1.59
UE_016,LEO,1302.8,8.582,1.982,-86.109,0.00127,444.068,8.685,5.0,4383.0,4.34,0.0,0.0,41.94,1.37
UE_017,LEO,1030.0,10.262,4.062,-83.969,0.00118,593.797,8.866,8.0,-3760.7,3.43,0.0,0.0,49.22,1.83
UE_018,LEO,858.7,10.308,4.508,-84.746,0.00122,628.833,9.725,6.0,-1499.3,2.86,0.0,0.0,50.78,1.93
UE_019,LEO,811.0,9.657,6.357,-84.471,0.000145,783.946,14.407,0.4,-1012.4,2.7,8.0,2.28,57.25,2.41
UE_000,LEO,851.7,3.715,-1.485,-87.843,0.015,251.635,5.678,37.0,-1791.2,2.84,22.0,6.65,29.8,0.77
UE_001,LEO,810.1,11.047,7.447,-84.877,0.000147,881.574,8.401,1.8,-1072.8,2.7,0.0,0.0,61.06,2.71
UE_002,LEO,896.1,11.999,8.499,-84.2,0.000145,979.557,13.974,1.2,3603.2,2.99,0.0,0.0,64.75,3.01
UE_003,LEO,1092.4,8.495,3.295,-86.653,0.00169,535.822,21.282,10.0,1615.1,3.64,0.0,0.0,46.53,1.65
UE_004,LEO,1461.9,7.077,1.777,-86.161,0.0015,430.68,21.746,11.0,4593.6,4.87,0.0,0.0,41.22,1.33
UE_005,LEO,1775.8,5.937,1.637,-86.631,0.00178,421.652,18.839,11.0,3614.4,5.92,0.0,0.0,40.73,1.3
UE_006,LEO,1664.0,-17.246,-19.446,-98.923,0.036,5.297,11.094,59.0,4249.3,5.55,28.0,23.99,0.0,0.02
UE_007,LEO,1284.8,7.757,1.857,-86.021,0.0011,435.9,17.565,11.0,-1391.8,4.28,0.0,0.0,41.5,1.34
UE_008,LEO,990.2,10.017,3.817,-85.592,0.00132,574.929,17.601,13.0,-1688.9,3.3,0.0,0.0,48.36,1.77
UE_009,LEO,837.2,11.696,8.896,-83.752,0.0001,1017.309,13.581,0.8,-3356.9,2.79,0.0,0.0,66.14,3.13
UE_010,LEO,828.0,10.28,4.78,-84.26,0.00161,650.699,8.52,7.0,-3510.2,2.76,0.0,0.0,51.73,2.0
UE_011,LEO,890.6,10.044,3.944,-85.778,0.0015,584.627,5.937,9.0,2197.2,2.97,0.0,0.0,48.8,1.8
UE_012,LEO,1096.7,0.834,-2.966,-90.183,0.06,191.726,18.311,54.0,-2832.3,3.66,17.0,7.14,24.62,0.59
UE_013,LEO,1547.9,6.892,3.292,-86.354,0.00169,535.584,17.319,11.0,4178.1,5.16,0.0,0.0,46.52,1.65
UE_014,LEO,1752.8,7.998,1.198,-86.301,0.00196,394.093,22.685,5.0,4641.2,5.84,0.0,0.0,39.19,1.21
UE_015,LEO,1686.7,7.778,5.478,-87.011,0.000122,708.341,24.245,1.7,4066.2,5.62,0.0,0.0,54.17,2.18
UE_016,LEO,1298.9,8.298,2.698,-86.651,0.00125,492.885,8.659,12.0,1836.2,4.33,0.0,0.0,44.44,1.52
UE_017,LEO,982.6,9.668,3.768,-84.266,0.00127,571.189,6.551,10.0,2490.3,3.28,0.0,0.0,48.19,1.76
UE_018,LEO,849.2,11.89,6.39,-83.455,0.000126,786.767,13.661,1.1,3263.5,2.83,0.0,0.0,57.36,2.42
UE_019,LEO,828.6,9.234,7.134,-86.083,0.00012,853.148,10.524,1.3,-3440.6,2.76,8.0,2.34,59.97,2.63
UE_000,LEO,831.9,4.778,-2.022,-86.911,0.067,228.429,13.546,37.0,2096.7,2.77,22.0,6.47,27.92,0.7
UE_001,LEO,820.5,12.549,8.649,-83.725,0.000129,993.761,18.47,2.0,-1625.7,2.73,0.0,0.0,65.27,3.06
UE_002,LEO,899.3,11.674,8.374,-84.863,0.00012,967.76,14.995,0.8,-3914.0,3.0,0.0,0.0,64.31,2.98
UE_003,LEO,1119.7,8.645,1.945,-85.177,0.00151,441.68,19.465,13.0,-3377.4,3.73,0.0,0.0,41.81,1.36
UE_004,LEO,1475.3,7.531,3.731,-86.134,0.00144,568.414,9.835,11.0,4218.3,4.92,0.0,0.0,48.06,1.75
UE_005,LEO,1852.5,6.543,1.443,-87.428,0.00175,409.359,12.35,5.0,-1619.4,6.17,0.0,0.0,40.05,1.26
UE_006,LEO,1733.1,-19.393,-22.593,-99.997,0.055,2.574,17.554,32.0,-3759.8,5.78,28.0,26.34,0.0,0.01
UE_007,LEO,1280.7,8.175,5.175,-86.713,0.000106,683.052,8.538,2.0,2708.7,4.27,0.0,0.0,53.11,2.1
UE_008,LEO,959.4,11.027,5.827,-83.686,0.000163,737.991,6.396,2.9,-1264.5,3.2,0.0,0.0,55.39,2.27
UE_009,LEO,839.2,9.678,5.678,-84.661,0.000113,725.265,5.595,2.1,-1103.5,2.8,0.0,0.0,54.87,2.23
UE_010,LEO,828.5,12.074,7.174,-84.563,0.000135,856.789,14.524,0.9,777.1,2.76,0.0,0.0,60.11,2.64
UE_011,LEO,914.1,9.059,3.559,-85.671,0.00144,555.424,7.094,9.0,-829.6,3.05,0.0,0.0,47.46,1.71
UE_012,LEO,1136.2,2.856,-1.644,-88.572,0.041,244.584,7.575,46.0,-3889.6,3.79,17.0,7.5,29.24,0.75
UE_013,LEO,1494.5,7.266,3.366,-86.067,0.00195,541.074,9.963,14.0,-2973.7,4.98,0.0,0.0,46.78,1.66
UE_014,LEO,1827.1,6.706,1.406,-86.947,0.00154,407.03,12.181,8.0,-3459.0,6.09,0.0,0.0,39.92,1.25
UE_015,LEO,1651.4,7.578,4.178,-85.711,0.00142,602.827,23.009,8.0,-4245.8,5.5,0.0,0.0,49.62,1.85
UE_016,LEO,1238.5,7.661,2.361,-86.37,0.00187,469.543,20.256,5.0,-4384.7,4.13,0.0,0.0,43.26,1.44
UE_017,LEO,982.7,9.567,4.367,-84.616,0.00141,617.694,7.551,5.0,216.6,3.28,0.0,0.0,50.29,1.9
UE_018,LEO,824.0,10.216,3.316,-84.192,0.00177,537.4,16.493,9.0,3155.8,2.75,0.0,0.0,46.61,1.65
UE_019,LEO,807.8,10.099,6.299,-85.75,0.000186,778.854,5.385,2.8,-3461.0,2.69,8.0,2.27,57.05,2.4
UE_000,LEO,840.4,5.022,-0.078,-87.289,0.019,320.825,9.602,37.0,-3168.7,2.8,22.0,6.55,34.73,0.99
UE_001,LEO,810.0,12.248,9.048,-83.076,0.000169,1031.837,5.4,1.8,2968.3,2.7,0.0,0.0,66.67,3.17
UE_002,LEO,910.3,9.188,6.588,-85.406,0.000166,804.268,6.069,0.6,2050.2,3.03,0.0,0.0,58.06,2.47
UE_003,LEO,1136.1,7.758,2.158,-85.821,0.00135,455.849,7.574,12.0,2503.8,3.79,0.0,0.0,42.55,1.4
UE_004,LEO,1576.3,8.703,4.503,-84.949,0.00184,628.42,11.509,8.0,-3769.5,5.25,0.0,0.0,50.76,1.93
UE_005,LEO,1777.0,6.334,2.234,-87.033,0.00125,460.941,20.847,12.0,3394.3,5.92,0.0,0.0,42.82,1.42
UE_006,LEO,1682.7,-19.007,-21.107,-99.304,0.087,3.62,25.218,52.0,-2275.7,5.61,28.0,24.6,0.0,0.01
UE_007,LEO,1268.6,7.627,4.127,-85.287,0.00168,598.815,15.458,12.0,547.4,4.23,0.0,0.0,49.44,1.84
UE_008,LEO,966.1,9.181,3.381,-84.61,0.00159,542.144,14.441,14.0,-3965.7,3.22,0.0,0.0,46.83,1.67
UE_009,LEO,832.6,12.237,9.937,-83.381,0.00018,1118.169,6.551,2.4,-2043.4,2.78,0.0,0.0,69.78,3.44
UE_010,LEO,810.9,11.139,7.439,-83.93,0.000138,880.896,5.406,0.8,-2106.4,2.7,0.0,0.0,61.04,2.71
UE_011,LEO,927.7,11.156,4.356,-85.122,0.00145,616.814,8.185,8.0,3411.3,3.09,0.0,0.0,50.25,1.9
UE_012,LEO,1168.9,1.474,-3.926,-88.863,0.041,159.431,7.793,48.0,-3560.6,3.9,17.0,7.82,21.26,0.49
UE_013,LEO,1569.7,7.423,3.123,-85.388,0.00182,523.27,23.465,13.0,3235.0,5.23,0.0,0.0,45.93,1.61
UE_014,LEO,1785.1,5.313,-1.287,-88.343,0.026,260.662,11.9,41.0,-3818.9,5.95,0.0,0.0,30.5,0.8
UE_015,LEO,1632.6,6.533,3.933,-86.334,0.00175,583.814,20.884,14.0,-3308.4,5.44,0.0,0.0,48.77,1.8
UE_016,LEO,1259.5,9.367,2.867,-86.317,0.00116,504.829,8.397,10.0,778.7,4.2,0.0,0.0,45.03,1.55
UE_017,LEO,972.0,9.94,4.34,-84.53,0.00148,615.522,20.48,13.0,-3731.6,3.24,0.0,0.0,50.19,1.89
UE_018,LEO,844.8,11.928,6.128,-85.036,0.000127,763.949,14.632,2.2,3710.2,2.82,0.0,0.0,56.45,2.35
UE_019,LEO,810.4,9.465,7.365,-85.467,0.000162,874.144,5.403,1.5,510.9,2.7,8.0,2.28,60.78,2.69
UE_000,LEO,820.8,4.885,-1.315,-88.357,0.051,259.373,5.472,53.0,-960.1,2.74,22.0,6.36,30.4,0.8
UE_001,LEO,822.9,11.527,7.627,-83.337,0.000105,898.103,5.486,2.9,2078.6,2.74,0.0,0.0,61.69,2.76
UE_002,LEO,929.9,11.74,8.14,-83.53,0.000124,945.734,6.2,0.6,-3299.3,3.1,0.0,0.0,63.49,2.91
UE_003,LEO,1191.7,8.479,2.979,-86.36,0.00137,512.894,7.944,6.0,-1513.1,3.97,0.0,0.0,45.43,1.58
UE_004,LEO,1555.9,6.667,3.067,-86.567,0.00163,519.168,17.372,7.0,3665.6,5.19,0.0,0.0,45.73,1.6
UE_005,LEO,1848.5,6.653,2.453,-87.073,0.00162,475.882,17.323,13.0,-3829.9,6.16,0.0,0.0,43.59,1.46
UE_006,LEO,1621.3,-16.604,-18.904,-98.902,0.011,5.996,10.809,48.0,3528.3,5.4,28.0,22.67,0.0,0.02
UE_007,LEO,1199.9,9.54,6.44,-85.73,0.000144,791.165,19.0,0.8,-2965.6,4.0,0.0,0.0,57.54,2.43
UE_008,LEO,968.8,9.562,2.962,-86.019,0.00166,511.613,17.459,7.0,71.7,3.23,0.0,0.0,45.37,1.57
UE_009,LEO,838.7,11.183,8.483,-84.209,0.000192,977.996,5.591,2.8,-394.3,2.8,0.0,0.0,64.69,3.01
UE_010,LEO,809.7,12.651,8.051,-84.675,0.000109,937.423,5.398,2.7,255.8,2.7,0.0,0.0,63.18,2.88
UE_011,LEO,950.5,9.291,3.091,-84.955,0.00132,520.909,11.336,9.0,3895.2,3.17,0.0,0.0,45.82,1.6
UE_012,LEO,1206.8,-0.687,-4.387,-89.944,0.026,145.597,10.046,50.0,-1875.8,4.02,17.0,8.19,19.64,0.45
UE_013,LEO,1543.6,7.205,3.105,-85.797,0.00164,521.989,11.291,10.0,-1358.6,5.15,0.0,0.0,45.87,1.61
UE_014,LEO,1856.1,5.834,-0.866,-87.883,0.029,280.595,17.374,43.0,-4735.5,6.19,0.0,0.0,31.97,0.86
UE_015,LEO,1658.9,7.957,5.557,-85.522,0.000114,714.988,19.059,0.1,-4686.3,5.53,0.0,0.0,54.45,2.2
UE_016,LEO,1229.5,10.102,3.902,-85.149,0.00196,581.419,17.196,8.0,-3415.8,4.1,0.0,0.0,48.66,1.79
UE_017,LEO,953.5,10.869,4.969,-84.165,0.00173,666.118,10.356,12.0,-3833.6,3.18,0.0,0.0,52.39,2.05
UE_018,LEO,826.7,12.591,5.891,-84.605,0.00018,743.458,10.512,0.6,3685.3,2.76,0.0,0.0,55.62,2.29
UE_019,LEO,831.1,9.503,7.303,-86.248,0.000131,868.476,5.54,1.0,-3338.1,2.77,8.0,2.35,60.56,2.67
UE_000,LEO,813.9,4.913,-0.387,-87.544,0.023,304.573,5.426,49.0,-639.7,2.71,22.0,6.3,33.65,0.94
